1,"02001","A0113"
2,"02001","A1272"
3,"02001","B1356"
4,"02001","C0140"
5,"02001","E0106"
6,"02001","F0003"
7,"02001","G0003"
8,"02001","H0138"
9,"02001","J0141"
10,"02001","J0170"
11,"02001","K0003"
12,"02001","M0001"
13,"02001","N0001"
14,"02001","P0024"
15,"02002","A0113"
16,"02002","A1272"
17,"02002","B1296"
18,"02002","C0167"
19,"02002","E0150"
20,"02002","F0003"
21,"02002","G0003"
22,"02002","H0138"
23,"02002","J0117"
24,"02002","K0003"
25,"02002","M0001"
26,"02002","N0001"
27,"02002","P0024"
28,"02003","A0113"
29,"02003","A1272"
30,"02003","B1158"
31,"02003","C0200"
32,"02003","E0151"
33,"02003","F0003"
34,"02003","G0003"
35,"02003","H0138"
36,"02003","J0144"
37,"02003","K0003"
38,"02003","M0001"
39,"02003","N0001"
40,"02003","P0024"
41,"02004","A0113"
42,"02004","A1272"
43,"02004","B1197"
44,"02004","C0200"
45,"02004","E0151"
46,"02004","F0003"
47,"02004","G0003"
48,"02004","H0138"
49,"02004","J0141"
50,"02004","K0003"
51,"02004","M0001"
52,"02004","N0001"
53,"02004","P0024"
54,"02005","A0113"
55,"02005","A1272"
56,"02005","B1549"
57,"02005","C0167"
58,"02005","E0150"
59,"02005","F0003"
60,"02005","G0003"
61,"02005","H0138"
62,"02005","J0141"
63,"02005","K0003"
64,"02005","M0001"
65,"02005","N0001"
66,"02005","P0024"
67,"02006","A0113"
68,"02006","A1272"
69,"02006","B1665"
70,"02006","C0167"
71,"02006","E0151"
72,"02006","F0003"
73,"02006","G0003"
74,"02006","H0138"
75,"02006","J0117"
76,"02006","K0003"
77,"02006","M0001"
78,"02006","N0001"
79,"02006","P0024"
80,"02007","A0113"
81,"02007","A1272"
82,"02007","B1282"
83,"02007","C0167"
84,"02007","E0150"
85,"02007","F0003"
86,"02007","G0003"
87,"02007","H0138"
88,"02007","J0141"
89,"02007","K0003"
90,"02007","M0001"
91,"02007","N0001"
92,"02007","P0024"
93,"02008","A0113"
94,"02008","A1272"
95,"02008","B1444"
96,"02008","C0200"
97,"02008","E0151"
98,"02008","F0003"
99,"02008","G0003"
100,"02008","H0138"
101,"02008","J0117"
102,"02008","K0003"
103,"02008","M0001"
104,"02008","N0001"
105,"02008","P0024"
106,"02009","A0113"
107,"02009","A1272"
108,"02009","B1643"
109,"02009","C0167"
110,"02009","E0106"
111,"02009","F0003"
112,"02009","G0003"
113,"02009","H0138"
114,"02009","H0229"
115,"02009","J0117"
116,"02009","K0003"
117,"02009","M0001"
118,"02009","N0001"
119,"02009","P0024"
120,"02010","A0113"
121,"02010","A1272"
122,"02010","B1472"
123,"02010","C0264"
124,"02010","E0106"
125,"02010","F0003"
126,"02010","G0003"
127,"02010","H0138"
128,"02010","J0141"
129,"02010","K0003"
130,"02010","M0001"
131,"02010","N0001"
132,"02010","P0024"
133,"02011","A0113"
134,"02011","A1272"
135,"02011","B1255"
136,"02011","C0289"
137,"02011","E0106"
138,"02011","F0003"
139,"02011","G0003"
140,"02011","H0138"
141,"02011","J0141"
142,"02011","K0003"
143,"02011","M0001"
144,"02011","N0001"
145,"02011","P0024"
146,"02012","A0113"
147,"02012","A1272"
148,"02012","B1381"
149,"02012","C0200"
150,"02012","E0151"
151,"02012","F0003"
152,"02012","G0003"
153,"02012","H0138"
154,"02012","J0117"
155,"02012","K0003"
156,"02012","M0001"
157,"02012","N0001"
158,"02012","P0024"
159,"02013","A0113"
160,"02013","A1272"
161,"02013","B1381"
162,"02013","C0167"
163,"02013","E0151"
164,"02013","F0003"
165,"02013","G0003"
166,"02013","H0138"
167,"02013","J0117"
168,"02013","K0003"
169,"02013","M0001"
170,"02013","N0001"
171,"02013","P0024"
172,"02014","A0113"
173,"02014","A1272"
174,"02014","B1274"
175,"02014","C0167"
176,"02014","E0151"
177,"02014","F0003"
178,"02014","G0003"
179,"02014","H0138"
180,"02014","J0141"
181,"02014","K0003"
182,"02014","M0001"
183,"02014","N0001"
184,"02014","P0024"
185,"02015","A0113"
186,"02015","A1272"
187,"02015","B1381"
188,"02015","C0167"
189,"02015","E0106"
190,"02015","F0003"
191,"02015","G0003"
192,"02015","H0138"
193,"02015","H0151"
194,"02015","J0141"
195,"02015","K0003"
196,"02015","M0001"
197,"02015","N0001"
198,"02015","P0024"
199,"02016","A0113"
200,"02016","A1272"
201,"02016","B1277"
202,"02016","C0167"
203,"02016","E0150"
204,"02016","F0003"
205,"02016","G0003"
206,"02016","H0138"
207,"02016","J0117"
208,"02016","K0003"
209,"02016","M0001"
210,"02016","N0001"
211,"02016","P0024"
212,"02017","A0113"
213,"02017","A1272"
214,"02017","B1277"
215,"02017","C0200"
216,"02017","E0151"
217,"02017","F0003"
218,"02017","G0003"
219,"02017","H0138"
220,"02017","J0117"
